JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
19-Jun-11,"36"" Rumuekpe-Nkpoku Pipeline at Aluu",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/674162_36in_Rumuekpe-Nkpoku_pipeline_at_Aluu_Photos.pdf,Recovery of spilled volume completed on 20th June 2011.Clean up of residual impacted area completed on 22nd July 2011.,Land,Post Cleanup inspection completed on 24th August 2011.,june,18-Jun-11,7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/674162_36in_Rumuekpe-Nkpoku_pipeline_at_Aluu_JIV.pdf,2011,Sabotage/Theft
20-Jun-11,Agbada 2 Flowstation Well 2T ROW,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/674499_6in_bulkline_Agbada2_flowstation_Omueke_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 12th September 2011,Land,Post Cleanup inspection completed on 25th October 2011.,june,18-Jun-11,2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/674499_6in_bulkline_Agbada2_flowstation_Omueke_JIV.pdf,2011,Operational
23-Jun-11,Cawthorne Channel 2 Well 45T Flowline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/675384_CawthorneChannel2_Well45T_flowline_at_Mbiama_Photos.pdf,Recovery of spilled volume completed on 25th June 2011. Cleanup of residual impacted area commenced on 21st September 2011 and was completed on 28th September 2011.,Swamp,Post Cleanup Inspection completed on  6th October 2011.,june,20-Jun-11,4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/675384_CawthorneChannel2_Well45T_flowline_at_Mbiama_JIV.pdf,2011,Operational
1-Jul-11,Batan Well 4T Flowline at Batan,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/676202_Batan_Well4T_flowline_at_Batan_Photos.pdf,No oil  was found on site. Cleanup not required.,Swamp,JIV concluded on the 1st July 2011  and report confirms no further cleanup action required. Closed.,june,21-Jun-11,0,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/676202_Batan_Well4T_flowline_at_Batan_JIV.pdf,2011,Operational
27-Jun-11,18” Assa–Rumuekpe Trunkline at Awara,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677398_18in_Assa-Rumuekpe_pipeline_at_Awara_Photos.pdf,No recoverable oil was found on site.,Land,Post Cleanup inspection completed on 28th July 2011.,june,25-Jun-11,0.72,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677398_18in_Assa-Rumuekpe_pipeline_at_Awara_JIV.pdf,2011,Sabotage/Theft
28-Jun-11,"8"" Isimiri Pipeline at Umuaghala",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677576_8in_Isimiri_pipeline_at_Umuaghala_Photos.pdf,Recovery of spilled volume commenced on 28th June 2011 and was completed on 22nd August 2011. Cleanup of residual impacted area commenced on 24th October 2011 and was completed on 31st December 2011.,Land,"Cleanup of residual impacted area was executed in combination with an earlier spill that was reported on 7th April 2011, as the impact areas overlap. Delay due to site flooding as a result of heavy rains. Post Cleanup inspection completed on 26th January 2012.",june,26-Jun-11,303.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677576_8in_Isimiri_pipeline_at_Umuaghala_JIV.pdf,2011,Sabotage/Theft
29-Jun-11,Cawthorne Channel 2 Well 32S Flowline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677598_CawthorneChannel2_Well32S_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 3rd September 2011.,Swamp, Post Cleanup inspection completed on 6th October 2011.,june,26-Jun-11,3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/677598_CawthorneChannel2_Well32S_flowline_at_Mbiama_JIV.pdf,2011,Sabotage/Theft
28-Jun-11,Obigbo Well 20T Flowline at Umuebule,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/678020_Obigbo_Well20T_flowline_at_Umuebule_Photos.pdf,Recovery of spilled volume completed on 28th June 2011. Cleanup of residual impacted area completed on 21st July 2011,Land,Post Cleanup inspection completed on 30th September 2011. ,june,26-Jun-11,1.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/678020_Obigbo_Well20T_flowline_at_Umuebule_JIV.pdf,2011,Operational
29-Jun-11,"12"" Imo River Pipeline at Uzuaku",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/678544_12in_ImoRiver_pipeline_at_Uzuaku_Photos.pdf,Recovery of spilled volume commenced on 28th June 2011 and was completed on 23rd September 2011. Cleanup of residual impacted area completed on 12th October 2011.,Land,"Delay in the cleanup of residual impacted areas was due to site flooding as a result of heavy rains. Post Cleanup Inspection completed on 29th November 2011. Initial volume of spill estimated during JIV of 29th June 2011 was 40.6 bbls. However, 507 bbls of oil was subsequently recovered, resulting in a restated volume of 724.6 bbls. Restated volume has been communicated to the Regulators as per statutory requirement. 
",june,27-Jun-11,724.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/678544_12in_ImoRiver_pipeline_at_Uzuaku_JIV.pdf,2011,Sabotage/Theft
1-Jul-11,Imo River Well 28L Flowline at Umuedeokware.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/680259_ImoRiver2_Well28L_flowline_at_Umuedeokware_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area commenced on 26th October 2011 and was completed on 31st October 2011.,Land,Delay in cleanup was due to site flooding as a result of heavy rains. Post Cleanup Inspection completed on 29th November 2011.,june,28-Jun-11,1.05,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/680259_ImoRiver2_Well28L_flowline_at_Umuedeokware_JIV.pdf,2011,Sabotage/Theft
11-Jul-11,Nun River Well 15 Flowline at Nun River,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/683733_NunRiver_Well15S_flowline_at_Onyoma_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 6th September 2011,Swamp / Land,Post Cleanup Inspection completed on 23rd November 2011.,june,30-Jun-11,2.95,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/683733_NunRiver_Well15S_flowline_at_Onyoma_JIV.pdf,2011,Sabotage/Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
7-Jul-11,Ubie Well 4S Flowline at Ubie,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/683734_Ubie_Well4S_flowline_at_Ubie_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 30th August 2011.,Land,Post Cleanup inspection completed on 15th November 2011.,july,3-Jul-11,1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/683734_Ubie_Well4S_flowline_at_Ubie_JIV.pdf,2011,Sabotage/Theft
12-Jul-11,Etelebou Well 8T Flowline at Ogboloma,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/684765_Etelebou_Well8T_flowline_at_Ogboloma_Photos.pdf,Recovery of spilled volume and cleanup of residual impacted area commenced on 12th July and completed on 27th July 2011.,Land,The original JIV could not determine the cause of spill as the spill point was flooded at the time of visit and needed to be exposed to permit visual inspection. A repeat JIV on 9th August 2011 established that the spill was due to impact on the flowline from a third party heavy equipment working in the area. Post Cleanup inspection completed on 24th November 2011.,july,7-Jul-11,4.05,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/684765_Etelebou_Well8T_flowline_at_Ogboloma_JIV.pdf,2011,Operational
18-Jul-11,Otumara Well 22L Flowline at Otumara,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/685083_Otumara_Well22L_flowline_at_Ugborodo-Deghele-Ugboegbungun_Photos.pdf,No recoverable oil was found on site. Spill impact observed as oil sheen on water and stains on vegetation. Cleanup of residual impacted area completed on 14th October 2011.,Swamp,JIV was originally planned for the 12th July 2011 but was aborted due to community issues regarding communication of planned JIV; re-scheduled for 15th July 2011 but was also cancelled due to weather conditions . JIV finally commenced on 18th July 2011 and was concluded on 19th July 2011. Post Cleanup inspection completed on 24th October 2011.,july,7-Jul-11,21.99,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/685083_Otumara_Well22L_flowline_at_Ugborodo-Deghele-Ugboegbungun_JIV.pdf,2011,Operational
12-Jul-11,Awoba Well 2T Flowline Riser at Awoba,&nbsp;,No recoverable oil was found on site. No residual impact.,Swamp,JIV recommends no cleanup action required. Cleanup process closed.,july,8-Jul-11,0.13,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/685360_Awoba_Well2T_riser_at_Bille_JIV.pdf,2011,Operational
18-Jul-11,Cawthorne Channel Well 29T Flowline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/685650_Cawthorne_channel_Well29T_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site,Swamp,JIV recommends no cleanup action required. Closed.,july,9-Jul-11,6.97,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/685650_Cawthorne_channel_Well29T_flowline_at_Mbiama_JIV.pdf,2011,Operational
15-Jul-11,10'' Ogini-Eriemu delivery line  at Ogini,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689543_10in_Ogini-Eriemu_deliveryline_at_Ogini_Photos.pdf,No recoverable oil was found on site,Land,"Incident involved an illegally welded 2"" valve. JIV recommends no further cleanup action required.  Closed.",july,15-Jul-11,0.14,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689543_10in_Ogini-Eriemu_deliveryline_at_Ogini_JIV.pdf,2011,Sabotage/Theft
18-Jul-11,Cawthorne Channel Well 24T FL ROW at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689063_Cawthorne_channel_Well24T_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site,Swamp,JIV recommends no cleanup action required.  Closed.,july,16-Jul-11,0.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689063_Cawthorne_channel_Well24T_flowline_at_Mbiama_JIV.pdf,2011,Operational
19-Jul-11,"Chokota Gathering Manifold, Igbo Etche, Obigbo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688734_Chokota_Gathering_Manifold_at_Obigbo_Photos.pdf,Recovery of spilled volume commenced on 18th July and completed on 29th July 2011. Cleanup of residual impacted area completed on 31st August 2011.,Land,Post Cleanup inspection completed on 21st October 2011.,july,18-Jul-11,26.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688734_Chokota_Gathering_Manifold_at_Obigbo_JIV.pdf,2011,Sabotage/Theft
20-Jul-11,Imo River Well 59T Flowline at Igiriukwu,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688378_ImoRiver_Well59T_flowline_at_Igiriukwu_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 12th October 2011.,Land,Delay in the cleanup of residual impacted areas was due to site flooding as a result of heavy rains.  Post Cleanup inspection completed on 30th November 2011.,july,18-Jul-11,4.62,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688378_ImoRiver_Well59T_flowline_at_Igiriukwu_JIV.pdf,2011,Sabotage/Theft
19-Jul-11,10'' Utorogu-Ughelli Pumping Station Pipeline  at Otu-Jeremi,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689015_10in_Utorogu-UPS_deliveryline_at_Otujeremi_Photos.pdf,No recoverable oil was found on site,Land,"Incident involved a failed 10"" clamp. JIV recommends no further cleanup action required.  Closed.",july,19-Jul-11,0.05,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689015_10in_Utorogu-UPS_deliveryline_at_Otujeremi_JIV.pdf,2011,Operational
21-Jul-11,"4"" Obele pipeline at Ibaa",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688702_4in_Obele_deliveryline_at_Ibaa_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 27th July 2011.,Land,Post Cleanup inspection completed on 25th October 2011. Delay due to community issues which were resolved on 2nd October 2011.,july,19-Jul-11,2.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/688702_4in_Obele_deliveryline_at_Ibaa_JIV.pdf,2011,Sabotage/Theft
22-Jul-11,Awoba Well 5 L Flowline ROW at Awoba,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689552_Awoba_Well5L_flowlineriser_at_Bille_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 3rd August 2011.,Swamp,Post Cleanup Inspection completed on 10th August 2011.,july,19-Jul-11,2.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689552_Awoba_Well5L_flowlineriser_at_Bille_JIV.pdf,2011,Operational
21-Jul-11,20''Ughelli Pumping Station -Warri Refinery Pipeline at Ekpan,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689715_20in_UPS-WRPC_trunkline_at_Ekpan_Photos.pdf,Recovery of spilled volume completed on 29th July 2011. Cleanup of residual impacted area completed on 17th August 2011.,Land,Post Cleanup Inspection completed on 8th September 2011.,july,21-Jul-11,6.85,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/689715_20in_UPS-WRPC_trunkline_at_Ekpan_JIV.pdf,2011,Sabotage/Theft
27-Jul-11,"10"" Pipeline at Ekulama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/691386_10in_Ekulama1_pipeline_at_Freetown_Photos.pdf,Recovery completed on the 8th of August 2011. Cleanup of residual impacted area  completed on 29th October 2011.,Swamp,Post Cleanup Inspection completed on 4th November 2011.,july,25-Jul-11,229,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/691386_10in_Ekulama1_pipeline_at_Freetown_JIV.pdf,2011,Operational
3-Aug-11,Cawthorne Channel Well 21L ROW at Mbiama,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695276_CawthorneChannel_Well21L_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site.  Cleanup of residual impacted area commenced on 20th October 2011 and was completed on 30th October 2011.,Swamp,"Overall schedule for cleanup considered community contracting and difficulty of the work terrain, particularly during the rains. Post Cleanup Inspection completed on 24th November 2011.",july,31-Jul-11,0.93,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695276_CawthorneChannel_Well21L_flowline_at_Mbiama_JIV.pdf,2011,Operational
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
4-Aug-11,"12"" Imo River - Ogale Pipeline at KomKom",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695405_Imo River_OgaleL_pipeline_at_Komkom_Photos.pdf,Recovery of spilled volume completed on  7th August 2011. Cleanup of residual impacted area completed on 29th August 2011.,Land,Spill was accompanied by fire. JIV started on 4th August 2011 and was completed on 7th August 2011. Protracted delay due to site flooding during the rainy season as well as security issues which were only resolved in November 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 3rd February  2012.,august,2-Aug-11,49.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695405_12in_ImoRiver-Oghale_pipeline_at_KomKom_JIV.pdf,2011,Sabotage/Theft
6-Aug-11,"14"" Okordia-Rumuekpe Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(A)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 6th August 2011 and was completed on 3rd October 2011. Cleanup of residual impacted area completed on 11th November 2011.,Land,"The cleanup of residual impacted areas, which was originally planned for completion in October 2011, was suspended on 18th October 2011 due to community issues. Initial volume of spill estimated during JIV of 6th August 2011 was 71.1 bbls. However, 90 bbls of oil was subsequently recovered, resulting in a restated volume of 128.6 bbls. Restated volume has been communicated to the Regulators as per statutory requirement. Schedule revised due to a nationwide industrial action by labour unions in January 2012.  Post Cleanup Inspection completed on 7th February  2012.",august,2-Aug-11,128.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(A)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
9-Aug-11,"14"" Okordia-Rumuekpe Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(B)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume and cleanup of impacted area completed on 23rd September 2011.,Land,Post Cleanup Inspection completed on 25th November 2011. Delay due to flooding which restricted access to the site.,august,2-Aug-11,127.8,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(B)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
12-Aug-11,"14"" Okordia-Rumuekpe Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(C)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume and Cleanup of residual impacted area completed on 2nd October 2011.,Land,"Post Cleanup Inspection completed on 25th November 2011. Initial volume of spill estimated during JIV of 12th August 2011 was 34.4 bbls. However, 45 bbls of oil was subsequently recovered, resulting in a restated volume of 64.3 bbls. Restated volume has been communicated to the Regulators as per statutory requirement.  
",august,2-Aug-11,64.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(C)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
13-Aug-11,"14"" Okordia-Rumuekpe Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(D)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume and cleanup of residual impacted area commenced on 13th August 2011 and was completed on 3rd October 2011.,Land,Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 8th February  2012.,august,2-Aug-11,85.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(D)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
8-Aug-11,"12"" Adibawa-Okordia Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695700_12in_Adibawa-Okordia_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 8th August 2011 and was completed on 23rd September 2011. Cleanup of residual impacted area completed on 2nd October 2011.,Land,This is the 5th sabotage incident at Ikarama since the beginning of August 2011. Post Cleanup Inspection completed on 25th November 2011.,august,3-Aug-11,80.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695700_12in_Adibawa-Okordia_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
5-Aug-11,20'' Ughelli Pumping Station -Warri Refinery Pipeline at Ekpan,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/698098_20inc_Ughelli_Pumping_station-WarriRefinery_Pipeline_at_Ekpan_Photos.pdf,Recovery of spilled volume completed on 10th August 2011. Cleanup of residual impacted area completed on 17th August 2011.,Land,Post Cleanup Inspection completed on 8th September 2011.,august,4-Aug-11,34.84,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/698098_20inc_Ughelli_Pumping_station-WarriRefinery_Pipeline_at_Ekpan_JIV.pdf,2011,Sabotage/Theft
11-Aug-11,Saver Pit Oveflow (Obelle FS),http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/698080_Obelle_FlowStation_at_Obelle_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area commenced  on 5th October 2011 and was completed on 3rd November 2011.,Land,Delay in clean up experienced due to temporary restriction of access to site by community activities. Post Cleanup Inspection completed on 15th November 2011.,august,9-Aug-11,3.26,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/698080_Obelle_FlowStation_at_Obelle_JIV.pdf,2011,Operational
12-Aug-11,Cawthorne Channel Well 45T flowline at Mbiama,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699120_CawthorneChannel_Well45T_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area commenced on 21st September 2011 and was completed on 30th September 2011.,Swamp,"Overall schedule considers community contracting and difficulty of the work terrain, particularly during the rains. Post Cleanup Inspection completed on 24th November 2011.",august,10-Aug-11,6.71,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699120_CawthorneChannel_Well45T_flowline_at_Mbiama_JIV.pdf,2011,Operational
11-Aug-11,Yokri Well 114S flowline,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699148_Yokri_Well114S_flowline_at_Yokri_Sokebolou_Photos.pdf,Recovery of spilled volume completed on 26th August 2011. Cleanup of residual impacted area commenced on 26th January 2012 and was completed on 30th January 2012.,Swamp,"Delay in cleanup due to replacement of the originally nominated contractor by the community, after initiation of the contracting process as well as the difficult work terrain, particularly during the rainy season. Post Cleanup inspection completed on 17th February 2012.",august,11-Aug-11,3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699148_Yokri_Well114S_flowline_at_Yokri_Sokebolou_JIV.pdf,2011,Operational
16-Aug-11,Akaso Well 10L Flowline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699978_Akaso_Well10L_flowline_at_CawthorneChannel_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area was originally planned for completion in  October 2011 but reassessment revealed no residual impact.,Swamp,Post Cleanup Inspection completed on 24th November 2011.,august,12-Aug-11,0.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/699978_Akaso_Well10L_flowline_at_CawthorneChannel_JIV.pdf,2011,Sabotage/Theft
16-Aug-11,Well 29T flowline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700229_CawthorneChannel_Well29T_flowline_at_Mbiama_Photos.pdf,No recoverable oil was found on site.  Cleanup of residual impacted area commenced on 20th October 2011 and was completed on 30th October 2011.,Swamp,Delay in cleanup was due to site flooding as a result of heavy rains. Post Cleanup Inspection completed on 23rd November 2011.,august,13-Aug-11,0.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700229_CawthorneChannel_Well29T_flowline_at_Mbiama_JIV.pdf,2011,Operational
19-Aug-11,"20"" Buguma-Alakiri trunkline at Abiama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700104_20in_Buguma-Alakiri_trunkline_at_Abiama_Photos.pdf,No recoverable oil was found on site,Swamp,JIV  report confirms no further cleanup action required. Closed.,august,14-Aug-11,0.84,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700104_20in_Buguma-Alakiri_trunkline_at_Abiama_JIV.pdf,2011,Sabotage/Theft
19-Aug-11,"14"" Okordia - Rumuekpe Trunkline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700480_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 20th August 2011 and was completed on 25th November 2011. Cleanup of residual impacted area was completed on 19th December 2011.,Land,"The site was set on fire by unknown persons and the fire burnt itself out on 18th August 2011. The cleanup of residual impacted areas, which was originally planned for completion in October 2011, was suspended on 18th October 2011 due to community issues. This is the 6th sabotage incident at Ikarama since the beginning of August 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 7th February 2012.",august,15-Aug-11,84.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700480_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
19-Aug-11,"8"" Obigbo - New Elelenwo Delivery line at Akpajo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700723_8in_ObigboNorth-NewElelenwo_pipeline_at_Akpajo_Photos.pdf,Recovery of spilled volume commenced on 19th August and was completed on 30th August 2011. Cleanup of residual impacted area was completed on 14th October 2011.,Land,Overall schedule considers timeline required for community contracting. Post Cleanup Inspection completed on 19th October 2011.,august,16-Aug-11,28,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/700723_8in_ObigboNorth-NewElelenwo_pipeline_at_Akpajo_JIV.pdf,2011,Operational
22-Aug-11,"24"" Nembe Creek Pipeline at Tora",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/701341_24in_NembeCreek_Pipeline_at_Tora-Twenikiri_Photos.pdf,Recovery of spilled volume commenced on 22nd August 2011 and was completed on 23rd September 2011. Cleanup of residual impacted area was completed on 26th December 2011.,Swamp,"JIV took place from 22nd to 26th August 2011. Delays experienced  due to community contracting and the difficult work terrain, particularly during the rains. Post Cleanup Inspection completed on 25th May 2012.",august,17-Aug-11,479.49,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/701341_24in_NembeCreek_Pipeline_at_Tora-Twenikiri_JIV.pdf,2011,Operational
1-Sep-11,"10"" Diebu Creek - Nun River Pipeline at Oporoma",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702639_Diebucreek_Nunriver_Pipeline_at_Oporoma_Photos.pdf,Containment in place on 21st August 2011. Recovery of spilled volume and Cleanup of residual impacted  area commenced on 14th September 2011 and was completed on 31st December 2011,Swamp,Containment was removed by unknown persons prior to the Joint Investigation Visit. Post Cleanup Inspection completed on 27th March 2011.,august,20-Aug-11,89,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702639_Diebucreek_Nunriver_Pipeline_Oporoma_JIV_Report.pdf,2011,Sabotage/Theft
26-Aug-11,"12"" Adibawa-Okordia Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702517_12in_Adibawa-Okordia_Pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 26th August 2011 and was completed on 11th November 2011. Cleanup of residual impacted area completed on 12th December 2011.,Land,This is the 7th sabotage incident at Ikarama since the beginning of August 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012.  Post Cleanup Inspection completed on 7th February 2012.,august,21-Aug-11,30,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702517_12in_Adibawa-Okordia_Pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
27-Aug-11,"12"" Adibawa-Okordia Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/704074_12in_Adibawa-Okordia_Pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume and Cleanup of residual impacted area completed on 3rd October 2011.,Land,"Post Cleanup Inspection completed on  25th November 2011. This is the 8th sabotage incident at Ikarama since the beginning of August 2011. Initial volume of spill estimated during JIV of 27th August 2011 was 76.9 bbls. However, 84 bbls of oil was subsequently recovered, resulting in a restated volume of 120 bbls. Restated volume has been communicated to the Regulators as per statutory requirement.  
",august,21-Aug-11,120,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/704074_12in_Adibawa-Okordia_Pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
29-Aug-11,"14"" Okordia-Rumuekpe  Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702874_14in_Okordia-Rumuekpe_Pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 29th August 2011 and was completed on 25th November 2011.  Cleanup of residual impacted area was completed on 16th December 2011.,Land,This is the 9th sabotage incident at Ikarama since the beginning of August 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 7th February 2012.,august,22-Aug-11,91.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/702874_14in_Okordia-Rumuekpe_Pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
